"BehaviorSpace results (NetLogo 6.1.1)"
"FireSim.nlogo"
"FireSim"
"11/27/2020 18:49:23:436 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","map-file","person_path_weight","Medium","add-person-spacing?","equal-diagonal-weight?","display-path-cost?","Fire_Speed","Fast-Speed","Slow","people-wait?","set-fire?","Slow-Speed","People","Fast","Medium-Speed","[step]","count turtles","mean-escape-time"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","69","298","33.81188118811881"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","70","297","33.98522167487685"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","71","296","34.161764705882355"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","72","291","35.04306220095694"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","73","287","35.737089201877936"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","74","284","36.254629629629626"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","75","284","36.254629629629626"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","76","278","37.3018018018018"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","77","276","37.64732142857143"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","78","271","38.506550218340614"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","79","270","38.678260869565214"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","80","267","39.197424892703864"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","81","264","39.71610169491525"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","82","261","40.23430962343096"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","83","258","40.752066115702476"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","84","257","40.925925925925924"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","85","257","40.925925925925924"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","86","247","42.66798418972332"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","87","246","42.838582677165356"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","88","246","42.838582677165356"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","89","245","43.015686274509804"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","90","241","43.72586872586873"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","91","238","44.2557251908397"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","92","232","45.30223880597015"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","93","229","45.81918819188192"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","94","226","46.33576642335766"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","95","226","46.33576642335766"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","96","220","47.378571428571426"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","97","220","47.378571428571426"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","98","216","48.07746478873239"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","99","215","48.252631578947366"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","100","214","48.43006993006993"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","101","209","49.31615120274914"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","102","205","50.016949152542374"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","103","204","50.192567567567565"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","104","201","50.72240802675585"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","105","199","51.07641196013289"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","106","194","51.95751633986928"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","107","191","52.48220064724919"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","108","191","52.48220064724919"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","109","190","52.66129032258065"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","110","185","53.55555555555556"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","111","181","54.26332288401254"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","112","175","55.31076923076923"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","113","171","56"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","114","167","56.68468468468468"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","115","167","56.68468468468468"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","116","163","57.37685459940653"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","117","163","57.37685459940653"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","118","161","57.72861356932153"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","119","161","57.72861356932153"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","120","156","58.61918604651163"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","121","154","58.97398843930636"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","122","151","59.50716332378224"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","123","150","59.68571428571428"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","124","145","60.57746478873239"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","125","144","60.75561797752809"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","126","137","61.99449035812672"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","127","134","62.51912568306011"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","128","132","62.869565217391305"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","129","130","63.22162162162162"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","130","128","63.575268817204304"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","131","126","63.93048128342246"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","132","122","64.64021164021165"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","133","115","65.86493506493507"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","134","113","66.21188630490956"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","135","113","66.21188630490956"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","136","106","67.43401015228426"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","137","105","67.60759493670886"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","138","101","68.30325814536342"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","139","100","68.4775"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","140","96","69.17574257425743"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","141","95","69.35061728395061"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","142","91","70.05134474327629"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","143","91","70.05134474327629"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","144","87","70.75786924939467"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","145","83","71.46043165467626"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","146","78","72.33175355450237"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","147","76","72.67924528301887"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","148","69","73.88631090487239"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","149","67","74.22863741339492"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","150","65","74.57241379310345"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","151","64","74.7454128440367"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","152","62","75.09360730593608"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","153","58","75.789592760181"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","154","53","76.65324384787472"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","155","53","76.65324384787472"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","156","45","78.03076923076924"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","157","45","78.03076923076924"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","158","43","78.37636761487965"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","159","40","78.89565217391305"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","160","37","79.41468682505399"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","161","36","79.58836206896552"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","162","32","80.28418803418803"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","163","32","80.28418803418803"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","164","28","80.98516949152543"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","165","24","81.6827731092437"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","166","21","82.20459290187891"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","167","18","82.72614107883817"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","168","14","83.41975308641975"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","169","12","83.76639344262296"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","170","10","84.11428571428571"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","171","10","84.11428571428571"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","172","9","84.29124236252545"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","173","8","84.46951219512195"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","174","6","84.82793522267207"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","175","6","84.82793522267207"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","176","4","85.19153225806451"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","177","4","85.19153225806451"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","178","3","85.37625754527163"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","179","2","85.56224899598394"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","180","2","85.56224899598394"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","181","2","85.56224899598394"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","182","2","85.56224899598394"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","183","2","85.56224899598394"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","184","1","85.75751503006012"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","185","1","85.75751503006012"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","186","1","85.75751503006012"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","187","0","85.958"
